,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_122,lambda,-2.169883E+02,2.195800E+02,-6.125203E+01,7.196208E+00,-1.707606E-01,1.435528E+04,-5.802057E+03,8.287290E+02,-4.758080E+01,1.017439E+00,-5.956159E+04,2.261790E+04,-2.840197E+03,1.426041E+02,-2.496990E+00,4.963628E+04,-1.921713E+04,2.422929E+03,-1.088385E+02,1.442387E+00
alpha_122,b,9.770824E+00,-3.248111E+00,1.504361E+00,-1.990103E-02,3.214718E-04,-1.266622E+02,4.250795E+01,-4.779282E+00,2.194357E-01,-3.474036E-03,3.874836E+02,-1.321590E+02,1.429252E+01,-6.450552E-01,1.002269E-02,-3.312821E+02,1.128018E+02,-1.223062E+01,5.205870E-01,-7.803515E-03
alpha_122,c,-9.916267E-01,-8.804943E-02,1.027469E+00,9.428357E-04,-2.909666E-05,1.123429E+01,-5.418295E+00,7.820949E-01,-4.997300E-02,1.037626E-03,-7.815085E+01,3.259667E+01,-4.907646E+00,2.965010E-01,-6.045315E-03,1.262071E+02,-5.083533E+01,7.453432E+00,-4.679321E-01,9.576938E-03
alpha_200,a,2.232448E+04,-8.683222E+03,1.042927E+03,1.522639E-01,1.598234E-01,-1.126440E+05,6.002746E+04,-1.079756E+04,6.921396E+02,-1.600643E+01,3.951261E+05,-2.471346E+05,4.932451E+04,-3.565204E+03,8.220878E+01,-9.270640E+05,4.706602E+05,-8.323029E+04,5.761111E+03,-1.315627E+02
alpha_200,mu,-1.365506E+00,-4.593349E-02,1.025771E+00,-1.295073E-03,2.143299E-05,1.535316E+01,-4.114318E+00,2.549707E-01,-4.261063E-03,-3.273457E-05,-4.378257E+01,1.069370E+01,-3.809686E-01,-2.220810E-02,9.690602E-04,5.631869E+00,4.562021E+00,-1.852906E+00,1.389256E-01,-3.193093E-03
alpha_200,sigma,2.673148E-01,-9.038700E-02,4.793163E-02,-2.600772E-03,4.939016E-05,-1.356396E+01,5.609255E+00,-8.265577E-01,4.925684E-02,-9.805608E-04,7.875605E+01,-3.193508E+01,4.604367E+00,-2.710946E-01,5.474930E-03,-1.298476E+02,5.233208E+01,-7.534168E+00,4.455243E-01,-8.994478E-03
alpha_200,lambda,2.193567E+03,-8.327941E+02,1.057009E+02,-2.355606E+00,2.448250E-02,-4.128880E+03,1.061501E+03,-7.898192E+01,5.770341E+00,-9.333186E-02,-1.726314E+03,2.889494E+03,-5.885858E+02,1.745956E+01,4.755175E-02,8.435164E+03,-5.611872E+03,1.023414E+03,-3.381018E+01,-1.858918E-01
alpha_200,b,1.746581E-01,-1.583405E-01,1.066354E+00,-1.984921E-03,3.537966E-05,-9.342213E+00,4.294468E+00,-6.325848E-01,3.199045E-02,-5.639108E-04,3.509396E+01,-1.835574E+01,2.786791E+00,-1.450956E-01,2.526474E-03,-5.332546E+01,2.602459E+01,-4.134679E+00,2.087516E-01,-3.534790E-03
alpha_202,a,2.659978E+03,-7.535947E+02,1.165808E+02,-2.067381E+01,-1.714126E-01,-8.659100E+04,2.402609E+04,-1.218901E+03,-1.268341E+02,1.027287E+01,2.161311E+05,-3.423682E+04,-5.924453E+03,1.327558E+03,-5.895857E+01,1.917736E+04,-7.493320E+04,2.455273E+04,-2.710628E+03,9.746095E+01
alpha_202,mu,-1.225349E+00,-2.012528E-01,1.060866E+00,-1.886994E-03,2.471683E-05,2.140778E+01,-6.671859E+00,6.298148E-01,-2.638913E-02,3.912359E-04,-8.043182E+01,2.683994E+01,-2.844105E+00,1.213747E-01,-1.698610E-03,7.051666E+01,-2.257570E+01,2.130017E+00,-9.369359E-02,1.111882E-03
